,review_id,preview,review,rating,label
12627,7210,"If you've never been ""Tromatized""  this is the Troma movie to see first. Amazing acting  supercharge","If you've never been ""Tromatized"", this is the Troma movie to see first. Amazing acting, supercharged soundtrack, and bust-a-gut humor blend perfectly with Troma's unique brand of storytelling and special effects. Despite straying from a word for word retelling of Romeo and Juliet, the fact that it stays in iambic pentameter gives you the odd feeling that it's closer to Shakespeare than that overdone music video with DiCaprio and Danes. I assumed I'd seen the ultimate Shakespearian comedy when the cast of Moonlighting overhauled The Taming of the Shrew, but nothing comes close to Tromeo and Juliet. I strongly recommend the DVD version, which contains a second audio track with director Lloyd Kaufman which is just as entertaining as the main track.",10,pos
11892,603,i found this movie to be mostly a P.O.S.it was low budget but that isn't the problem.the problem is ,"i found this movie to be mostly a P.O.S.it was low budget,but that isn't the problem.the problem is,the movie is just lame.it doesn't really make a lot of sense.yes,it does explain why things happened,but that's not what i mean.there was just no reason for it all.the movie also moved very slow.the last ice age was quicker than this.also, i think they went overboard a bit in the kills.i don't mean they were too gross,but the killer just seemed to spend too much time smashing his victim over the head,or stabbing his victim. maybe i'm being petty,but i just didn't like the movie.the whole thing seemed like a lower rate version of ""When a Stranger Calls"" and maybe that was the whole point.but so what.for me ""When A Stranger Kills"" is a 4/10*",4,neg
49639,10614,Three girls (an all-female media-crew  including cult-actress Barbara Bach  no less) visiting a smal,"Three girls (an all-female media-crew, including cult-actress Barbara Bach, no less) visiting a small town to cover a festival, end up renting rooms in a house they should have avoided like the plague. Well-made little shocker, suffering a bit from some redundant dialogue-scenes and a rather thin plot-line (that doesn't do very well in hiding its secrets). One underlying theme in particular is quite disturbing (as in: vintage shock-material), and this is basically what the film thrives on. Performances & cinematography are pretty much above par (compared to many other late 70's/early 80's films in the same vein), but what really makes me recommend this film is the fairly long climax-scene in the basement-setting. From the moment that ""Keller Junior"" character was introduced, his performance made my jaw drop open and it didn't close until the end of the film. A very pleasant surprise to see actor Sydney Lassick (who was funnily wacko in ""One Flew Over The Cuckoo's nest"", and now utterly demented in ""The Unseen"") take on one of the leading roles.",7,pos
9698,4322,SPOILER AHEAD! The mummy (Lon Chaney Jr.) is on the loose in a New England college town searching fo,"SPOILER AHEAD! The mummy (Lon Chaney Jr.) is on the loose in a New England college town searching for a college student (Ramsey Ames) who is the reincarnation of his beloved Princess Ananka. Dull, slow (even at 65 minutes--it moves slower than the mummy!), indifferently acted, but the ending is worth waiting for. The mummy gets the girl (!!!!!) and she ages rapidly as the both slowly sink in a swamp. This is (I believe) the only time in a Universal monster movie that the monster got the girl! That aside, this is stricly amateur night. Probably the worst of the mummy sequels--and that's saying something!",3,neg
28417,6510,<br /><br />However  the ladies of all ages will lap it up  no doubt; at least the opposite sex unde,"<br /><br />However, the ladies of all ages will lap it up, no doubt; at least the opposite sex understand what it is to be a mother, and most of us men try to fathom out what it is to be a father. Whether changing nappies is not at all my favourite occupation and trying to get those bottled baby-foodstuffs into errant toothless mouths must rank very high on household duties preferably left to its mother, has absolutely nothing to do with the matter.<br /><br />Some good interpretations here, and a good story idea; the handling of the matter, limited to rather scanty TV-production concepts, gives the film a rather over-mellowy taste with not much new to offer. An insipid way of delivering the goods, and in the end the outcome is so forseeable during the last 20 minutes or so, even my wife dozed off, and I was jumping up to the computer to get the on-line scoring in the Barcelona-Deportivo match, hoping the away team would do something rather good. They did. This film did not.<br /><br />Better by far is Mike Leigh's magnificent ""Secrets and Lies"" (qv) which touches on the same subject matter, but with Brenda Blethyn playing a far superior part.",4,neg
35697,465,When I was at the movie store the other day  I passed up Blonde and Blonder  but something about it ,"When I was at the movie store the other day, I passed up Blonde and Blonder, but something about it just seemed like it could possibly be a cute movie. Who knows? I mean, I'm sure most people bashed Romy and Michelle before they saw it, Blonde and Blonder might have just been another secret treasure that was passed up. But when I started watching it: Executive Producer Pamela Anderson, wow, I knew I was in for something scary. Not only that, but both of what were considered the pinnacle of hotness: Pam Anderson and Denise Richards, not to offend them, but they were not aging well at all and they're playing roles that I think were more meant for women who are supposed to be in their 20's, not their 40's. The story was just plain bad and obnoxious.<br /><br />Dee and Dawn are your beyond stupid stereotypical blonde's, they really don't have a clue when it comes to what is going on in the world, it's just really sad. But when the girls are somehow mistaken for murder assassins, the cops are on their tale and are actually calling the girls geniuses due to their ""ignorance is bliss"" attitudes. They are set up to make a ""hit"" on a guy, and they think they're just going to ""show him a good time"", but the real assassin is ticked and wants the case and to kill the girls.<br /><br />Denise and Pam just look very awkward on the screen and almost like they read the script the day before. I know that this was supposed to be the stupid comedy, but it was more than stupid, it went onto obnoxious and was just unnecessary. Would I ever recommend this? Not in a million years, the girls are just at this point trying to maintain their status as ""sex kittens"", it's more a sign of desperation and Blonde and Blonder is a huge blonde BOMBshell.<br /><br />1/10",1,neg
28556,7341,OK  I am not a professional movie critic but come on...a true story!!!!<br /><br />They are tunnelin,"OK, I am not a professional movie critic but come on...a true story!!!!<br /><br />They are tunneling under another store to get underneath the bank and stumble across a tomb. At tomb with a passageway which goes directly under the bank.<br /><br />OK, I'll play along.<br /><br />But then they get into the bank and decide to go to sleep. Yeah!!! I am sure with all the adrenaline pumping through them they are going to just fall asleep. <br /><br />This blows the whole picture!!!! How lame!!!!!<br /><br />Glad I didn't have to pay to watch this one.",4,neg
38359,12136,Coming shortly before the imposition of a morality code darkened the spirits of writers  directors a,"Coming shortly before the imposition of a morality code darkened the spirits of writers, directors and actors, the first film adaptation of W. Somerset Maugham's ""Of Human Bondage"" titillated countless moviegoers. It has no shock value today, just fine acting.<br /><br />While the cast is excellent, this is Bette Davis's first great role and one of Leslie Howard's best performances. Howard is English wannabe Parisian artist Philip Carey who is gently and firmly told that he lacks any talent and that his dedication is no substitute for true genius. Taking the lesson to heart he returns to London and enrolls in a medical college (one, by the way, that seems to have no female students-at that time there would have been at least a few. Perhaps author/physician Maugham didn't care for distaff medicos).<br /><br />Having tea one day Carey is entranced by a waitress, Mildred Rogers, Bette Davis in a role as a morally loose and basically wicked farrago. Her Cockney accent is as sharp as Eliza Doolittle's. His repeated attempts to date her are greeted with the less than enthusiastic reply, ""I don't mind,"" a sure sign for any man with his head screwed on straight that he's plumbing the depths. Maugham's Mildred supplemented her waitress tips with a bit of old fashioned street-walking, something not clearly brought out here.<br /><br />Carey's besotted prostration serves Rogers' avaricious need for support of the financial kind. He is desperately in love with her-she plays him as a Sunday church organist effortlessly plies her instrument. No sex here. Recognizing that he is getting nowhere, he begins a chaste relationship with Norah, a woman who adores him. Re-enter Mildred, replete with a baby, and in her usual need of being taken care of. Exit heartbroken Norah. <br /><br />Another separation from Mildred and Carey begins a long-term friendship with Sally, abetted enthusiastically by her dad who seems to view eventual marriage as both a good thing for the two young people and a chance to be relieved of one of his nine offspring.<br /><br />The movie reasonably but not entirely follows Maugham's excellent novel. Howard's Carey is naive and vulnerable and for much of the movie his sad eyes remind one of a doe facing a double-barreled shotgun. Mildred is unrestrainedly wicked, a user of the worst kind, her sole preoccupation with her own needs barely disguised when she tries to wheedle Carey with a thin patina of affectionate words (and offers-at one point she promises she'll do ""anything [he] wants,"" a daring statement for the times and one I'm sure audiences fully understood.<br /><br />Pre-Code it may be but Mildred's quick-march dissolution would have satisfied the League of Catholic Decency. The ending is conventional-sin loses, principled behavior triumphs.<br /><br />Director John Cromwell wrought excellent performances from his two main stars, one well-established, the other established largely because of this film. The atmosphere is 1930s London and the trip back in time is worth taking.<br /><br />Available on DVD.<br /><br />9/10 (for Davis's and Howard's performances)",9,pos
22248,10347,Recovery is an incredibly moving piece of work  handling the devastating effects of brain injury on ,"Recovery is an incredibly moving piece of work, handling the devastating effects of brain injury on not only the individual, but the entire family. Without resorting to preaching or Hollywood sappy endings, Tony Marchant's drama presents a family in crisis in a realistic way.<br /><br />Highest praise goes David Tennant and Sarah Parish for their incredible performances. I had presumed before watching the drama that I would see some of their previous on screen relationship in Blackpool bleed through-- but it never does. Neither actor is recognizable from any previous work, and I didn't see either of them as an actor playing a part during the entire 90 minutes. In addition, Harry Treadaway's performance as the son just on the cusp of starting his own life in university was fantastic - throughout the piece, he shows the torn nature of a teenage boy thrown into the unwilling role as man of the house,<br /><br />At times, nearly every character in the drama is unsympathetic. As the viewer, I wanted to give each of them a good smack to wake up to reality, stop moping, and start adjusting to the rotten but very present change in their lives. But under the same circumstances, I see myself acting like any of them - switching between trying to show the stiff upper lip to desperation to escape to anything, including behavior that is completely unlike myself. It's the show's greatest strength - truth, without sugar coating, to force us all to think what we'd be able to do under the same circumstances.<br /><br />This is a difficult, but must-watch show. I hope that it somehow manages to be shown in the U.S.",10,pos
34996,2729,Actress Ruth Roman's real-life philanthropic gesture to help entertain troops arriving from and leav,"Actress Ruth Roman's real-life philanthropic gesture to help entertain troops arriving from and leaving for the Korean War at an air base near San Francisco jump-started this all-star Warner Bros. salute to patriotism and song. Many celebrities make guest appearances while a love-hate romance develops between a budding starlet and a painfully green and skinny Air Force Corporal (Ron Hagerthy, who looks like he should be delivering newspapers from his bicycle). Seems the Corporal has fooled the actress into thinking he's off to battle when actually he's part of a airplane carrier crew, flying to and from Honolulu (you'd think she'd be happy he was staying out of harm's way, but instead she acts just like most childish females in 1950s movies). Doris Day is around for the first thirty minutes or so, and her distinct laugh and plucky song numbers are most pleasant. Roman is also here, looking glamorous, while James Cagney pokes fun at his screen persona and Gordon MacRae sings in his handsome baritone. Jane Wyman sings, too, in a hospital bedside reprise following Doris Day's lead, causing one to wonder, ""Did they run out of sets?"" For undemanding viewers, an interesting flashback to another time and place. Still, the low-rent production and just-adequate technical aspects render ""Starlift"" strictly a second-biller. *1/2 from ****",4,neg
